구분,시간대,액션,우선순위,비고
입장준비,08:00-09:00,여권/QR/보안검색 준비,상,입장 지연 방지
핵심1,09:00-10:30,주토피아 또는 TRON,상,대기시간 긴 어트랙션 우선
핵심2,10:30-11:30,캐리비안 해적,상,중년층 만족도 높음
점심,11:30-13:00,식사+휴식,상,체력 회복 구간
오후1,13:00-14:00,미키 스토리북(가능 시 예약),중,실내 공연으로 회복
오후2,14:00-15:30,포토/퍼레이드/가벼운 탑승,중,걷기 강도 완화
오후3,15:30-17:00,쇼핑+간식,중,혼잡 시간대 분산
저녁,17:00-19:00,저녁식사+짧은 대기 어트랙션,중,불꽃놀이 대비
하이라이트,19:00-폐장,불꽃놀이 관람 및 귀가,상,귀가 교통 분산 필요
예산-입장권,,1인 단가 입력,상,날짜별 변동요금
예산-식사,,1인 식비 입력,중,점심/저녁 분리 가능
예산-간식,,1인 간식비 입력,중,음료 포함
예산-교통,,1인 왕복 교통비 입력,중,지하철/택시 비교
예산-PA,,Premier Access 선택 입력,하,필요 시만
예산-굿즈,,가족 총액 입력,하,상한선 설정 권장
